Experiment: 2026-01-28_SUN4-mNG_RTqPCR_replacedUTRs_p2_BK  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	I16	Sample 208	12.55		0	
True	255	I17	Sample 209	15.80		0	
True	255	I18	Sample 210	22.32		0	
True	65280	I19	Sample 211			0	
True	65280	I20	Sample 212			0	
True	65280	I21	Sample 213			0	
True	65280	I22	Sample 214			0	
True	65280	I23	Sample 215			0	
True	65280	I24	Sample 216			0	
True	255	J1	Sample 217	16.36		0	
True	255	J2	Sample 218	16.71		0	
True	255	J3	Sample 219	14.36		0	
True	255	J4	Sample 220	13.58		0	
True	255	J5	Sample 221	16.63		0	
True	255	J6	Sample 222	30.80		0	
True	255	J7	Sample 223	16.20		0	
True	255	J8	Sample 224	16.55		0	
True	255	J9	Sample 225	13.56		0	
True	255	J10	Sample 226	13.26		0	
True	255	J11	Sample 227	16.62		0	
True	255	J12	Sample 228	28.81		0	
True	255	J13	Sample 229	15.63		0	
True	255	J14	Sample 230	16.40		0	
True	255	J15	Sample 231	13.70		0	
True	255	J16	Sample 232	13.47		0	
True	255	J17	Sample 233	16.54		0	
True	255	J18	Sample 234	27.54		0	
True	65280	J19	Sample 235			0	
True	65280	J20	Sample 236			0	
True	65280	J21	Sample 237			0	
True	65280	J22	Sample 238			0	
True	65280	J23	Sample 239			0	
True	65280	J24	Sample 240			0	
True	255	K1	Sample 241	15.93		0	
True	255	K2	Sample 242	16.59		0	
True	255	K3	Sample 243	13.84		0	
True	255	K4	Sample 244	12.84		0	
True	255	K5	Sample 245	15.67		0	
True	255	K6	Sample 246	26.94		0	
True	255	K7	Sample 247	15.67		0	
True	255	K8	Sample 248	16.56		0	
True	255	K9	Sample 249	13.46		0	
True	255	K10	Sample 250	12.92		0	
True	255	K11	Sample 251	15.59		0	
True	255	K12	Sample 252	20.19		0	
True	255	K13	Sample 253	15.81		0	
True	255	K14	Sample 254	16.35		0	
True	255	K15	Sample 255	13.59		0	
True	255	K16	Sample 256	12.92		0	
True	255	K17	Sample 257	15.57		0	
True	255	K18	Sample 258	23.85		0	
True	65280	K19	Sample 259			0	
True	65280	K20	Sample 260			0	
True	65280	K21	Sample 261			0	
True	65280	K22	Sample 262			0	
True	65280	K23	Sample 263			0	
True	65280	K24	Sample 264			0	
True	255	L1	Sample 265	16.24		0	
True	255	L2	Sample 266	16.96		0	
True	255	L3	Sample 267	14.34		0	
True	255	L4	Sample 268	13.44		0	
True	255	L5	Sample 269	16.48		0	
True	255	L6	Sample 270	27.66		0	
True	255	L7	Sample 271	16.25		0	
True	255	L8	Sample 272	16.85		0	
True	255	L9	Sample 273	13.89		0	
True	255	L10	Sample 274	12.84		0	
True	255	L11	Sample 275	16.71		0	
True	65280	L12	Sample 276			0	
True	255	L13	Sample 277	15.66		0	
True	255	L14	Sample 278	16.57		0	
True	255	L15	Sample 279	13.77		0	
True	255	L16	Sample 280	13.58		0	
True	255	L17	Sample 281	15.62		0	
True	255	L18	Sample 282	25.46		0	
True	65280	L19	Sample 283			0	
True	255	L20	Sample 284	36.72		0	
True	65280	L21	Sample 285			0	
True	65280	L22	Sample 286			0	
True	65280	L23	Sample 287			0	
True	65280	L24	Sample 288			0	
True	255	M1	Sample 289	15.81		0	
True	255	M2	Sample 290	15.70		0	
True	255	M3	Sample 291	14.27		0	
True	255	M4	Sample 292	13.67		0	
True	255	M5	Sample 293	15.78		0	
True	65280	M6	Sample 294			0	
True	255	M7	Sample 295	15.81		0	
True	255	M8	Sample 296	16.64		0	
True	255	M9	Sample 297	13.78		0	
True	255	M10	Sample 298	12.74		0	
True	255	M11	Sample 299	16.58		0	
True	255	M12	Sample 300	19.58		0	
True	255	M13	Sample 301	15.94		0	
True	255	M14	Sample 302	17.88		0	
True	255	M15	Sample 303	13.71		0	
True	255	M16	Sample 304	13.64		0	
True	255	M17	Sample 305	15.88		0	
True	255	M18	Sample 306	15.94		0	
True	65280	M19	Sample 307			0	
True	65280	M20	Sample 308			0	
True	65280	M21	Sample 309			0	
True	65280	M22	Sample 310			0	
True	65280	M23	Sample 311			0	
True	255	M24	Sample 312	33.50		0	
True	255	N1	Sample 313	15.56		0	
True	255	N2	Sample 314	16.54		0	
True	255	N3	Sample 315	13.68		0	
True	255	N4	Sample 316	12.77		0	
True	255	N5	Sample 317	14.97		0	
True	255	N6	Sample 318	27.61		0	
True	255	N7	Sample 319	15.61		0	
True	255	N8	Sample 320	16.36		0	
True	255	N9	Sample 321	15.98		0	
True	255	N10	Sample 322	12.69		0	
True	255	N11	Sample 323	15.75		0	
True	255	N12	Sample 324	29.75		0	
True	255	N13	Sample 325	14.94		0	
True	255	N14	Sample 326	16.50		0	
True	255	N15	Sample 327	13.33		0	
True	255	N16	Sample 328	12.68		0	
True	255	N17	Sample 329	14.88		0	
True	255	N18	Sample 330	27.84		0	
True	65280	N19	Sample 331			0	
True	65280	N20	Sample 332			0	
True	65280	N21	Sample 333			0	
True	65280	N22	Sample 334			0	
True	65280	N23	Sample 335			0	
True	255	N24	Sample 336	31.46		0	
True	65280	O1	Sample 337			0	
True	65280	O2	Sample 338			0	
True	65280	O3	Sample 339			0	
True	65280	O4	Sample 340			0	
True	65280	O5	Sample 341			0	
True	65280	O6	Sample 342			0	
True	65280	O7	Sample 343			0	
True	65280	O8	Sample 344			0	
True	65280	O9	Sample 345			0	
True	65280	O10	Sample 346			0	
True	65280	O11	Sample 347			0	
True	65280	O12	Sample 348			0	
True	65280	O13	Sample 349			0	
True	65280	O14	Sample 350			0	
True	65280	O15	Sample 351			0	
True	65280	O16	Sample 352			0	
True	65280	O17	Sample 353			0	
True	65280	O18	Sample 354			0	
True	65280	O19	Sample 355			0	
True	65280	O20	Sample 356			0	
True	65280	O21	Sample 357			0	
True	65280	O22	Sample 358			0	
True	65280	O23	Sample 359			0	
True	65280	O24	Sample 360			0	
True	65280	P1	Sample 361			0	
True	65280	P2	Sample 362			0	
True	65280	P3	Sample 363			0	
True	65280	P4	Sample 364			0	
True	65280	P5	Sample 365			0	
True	65280	P6	Sample 366			0	
True	65280	P7	Sample 367			0	
True	65280	P8	Sample 368			0	
True	65280	P9	Sample 369			0	
True	65280	P10	Sample 370			0	
True	65280	P11	Sample 371			0	
True	65280	P12	Sample 372			0	
True	65280	P13	Sample 373			0	
True	65280	P14	Sample 374			0	
True	65280	P15	Sample 375			0	
True	65280	P16	Sample 376			0	
True	65280	P17	Sample 377			0	
True	65280	P18	Sample 378			0	
True	65280	P19	Sample 379			0	
True	65280	P20	Sample 380			0	
True	65280	P21	Sample 381			0	
True	65280	P22	Sample 382			0	
True	65280	P23	Sample 383			0	
True	65280	P24	Sample 384			0	
